card_name,set_name,card_number,condition,market,image_url
Sylveon ex,Prismatic Evolutions,156,NearMint,550.79,https://images.pokemontcg.io/sv8pt5/156.png
Greninja ex,Twilight Masquerade,214,NearMint,382.51,https://images.pokemontcg.io/sv6/214.png
Charizard ex,151,199,NearMint,369.37,https://images.pokemontcg.io/sv3pt5/199.png
Leafeon ex,Prismatic Evolutions,144,NearMint,337.20,https://images.pokemontcg.io/sv8pt5/144.png
Espeon ex,Prismatic Evolutions,155,NearMint,315.59,https://images.pokemontcg.io/sv8pt5/155.png
Pikachu ex,Surging Sparks,238,NearMint,304.69,https://images.pokemontcg.io/sv8/238.png
Vaporeon ex,Prismatic Evolutions,149,NearMint,301.38,https://images.pokemontcg.io/sv8pt5/149.png
Glaceon ex,Prismatic Evolutions,150,NearMint,280.84,https://images.pokemontcg.io/sv8pt5/150.png
Flareon ex,Prismatic Evolutions,146,NearMint,225.79,https://images.pokemontcg.io/sv8pt5/146.png
Jolteon ex,Prismatic Evolutions,153,NearMint,203.50,https://images.pokemontcg.io/sv8pt5/153.png
Eevee ex,Prismatic Evolutions,167,NearMint,186.71,https://images.pokemontcg.io/sv8pt5/167.png
Gardevoir ex,Paldean Fates,233,NearMint,180.12,https://images.pokemontcg.io/sv4pt5/233.png
Latias ex,Surging Sparks,239,NearMint,177.96,https://images.pokemontcg.io/sv8/239.png
Venusaur ex,151,198,NearMint,119.20,https://images.pokemontcg.io/sv3pt5/198.png
Zapdos ex,151,202,NearMint,102.20,https://images.pokemontcg.io/sv3pt5/202.png
Persian,Shrouded Fable,78,NearMint,72.24,https://images.pokemontcg.io/sv6pt5/78.png
Bloodmoon Ursaluna ex,Prismatic Evolutions,168,NearMint,66.53,https://images.pokemontcg.io/sv8pt5/168.png
Sawsbuck,Temporal Forces,166,NearMint,58.74,https://images.pokemontcg.io/sv5/166.png
Duskull,Shrouded Fable,68,NearMint,55.74,https://images.pokemontcg.io/sv6pt5/68.png
Dragonair,151,181,NearMint,48.53,https://images.pokemontcg.io/sv3pt5/181.png
Cassiopeia,Shrouded Fable,94,NearMint,43.01,https://images.pokemontcg.io/sv6pt5/94.png
Fezandipiti ex,Shrouded Fable,92,NearMint,41.22,https://images.pokemontcg.io/sv6pt5/92.png
Terapagos ex,Stellar Crown,170,NearMint,38.69,https://images.pokemontcg.io/sv7/170.png
Hydreigon ex,Surging Sparks,240,NearMint,35.54,https://images.pokemontcg.io/sv8/240.png
Iron Hands ex,Prismatic Evolutions,154,NearMint,33.57,https://images.pokemontcg.io/sv8pt5/154.png
Dusknoir,Shrouded Fable,70,NearMint,30.31,https://images.pokemontcg.io/sv6pt5/70.png
Kieran,Twilight Masquerade,218,NearMint,28.48,https://images.pokemontcg.io/sv6/218.png
Lisia's Appeal,Surging Sparks,246,NearMint,27.62,https://images.pokemontcg.io/sv8/246.png
Minccino,Temporal Forces,182,NearMint,25.86,https://images.pokemontcg.io/sv5/182.png
Okidogi ex,Shrouded Fable,90,NearMint,22.45,https://images.pokemontcg.io/sv6pt5/90.png
